DP02_0064PE,DP02_0061PE,DP02_0065PE,DP02_0062PE,DP02_0063PE,DP02_0060PE,DP02_0059PE,DP05_0077PE,DP05_0078PE,DP05_0080PE,state,zip_code
9.6,42.9,7.3,14.7,11.1,11.1,3.3,97.2,0.0,0.0,36,13835
30.0,22.0,18.0,14.7,7.7,4.2,3.3,62.0,3.2,15.0,34,07012
6.8,46.0,2.0,17.5,9.5,9.2,9.1,82.7,0.3,0.0,18,47922
23.5,20.2,19.5,24.0,7.8,3.2,1.8,69.9,1.7,3.7,04,85704
15.8,47.7,5.8,12.1,13.6,3.5,1.5,98.8,0.0,1.2,55,54737
14.3,34.9,4.6,23.5,12.2,8.0,2.4,95.0,1.9,0.0,42,15030
12.8,36.3,4.6,25.4,11.8,7.2,1.9,73.9,0.3,0.1,27,56636
26.0,24.2,19.8,16.6,8.9,2.6,1.9,86.6,1.6,3.4,36,11731
10.3,39.6,0.7,16.2,10.5,17.0,5.7,58.7,40.1,0.2,22,71064
3.1,46.1,1.5,18.6,5.8,18.6,6.4,89.1,9.0,0.0,13,31002
17.5,32.8,12.1,21.1,8.2,6.0,2.2,86.0,12.3,0.0,22,71485
9.2,37.6,5.4,23.8,6.2,10.5,7.4,89.1,5.3,0.0,54,24910
15.3,20.6,13.4,26.5,8.6,8.6,7.0,4.3,65.6,3.2,06,90008
40.4,6.2,31.6,14.6,5.2,1.6,0.4,83.6,4.1,1.9,08,80206
0.0,48.3,1.4,29.0,8.3,12.4,0.7,84.1,14.5,1.3,39,45352
22.7,26.4,5.7,31.9,5.3,7.4,0.5,83.9,1.0,1.5,20,67865
30.1,10.4,21.4,23.3,9.3,1.8,3.8,76.1,1.3,3.3,06,92629
8.5,43.7,3.2,24.8,5.8,11.1,2.9,94.9,1.3,0.5,48,75938
17.0,29.1,3.8,20.7,14.5,6.4,8.5,89.7,2.4,0.0,19,50276
19.5,23.5,9.3,23.2,8.0,8.1,8.3,24.1,48.5,3.4,37,28215
22.8,19.4,10.9,25.6,8.6,6.2,6.3,68.6,0.7,5.5,06,94954
6.9,37.8,3.9,20.0,6.4,18.3,6.6,34.7,50.4,0.0,12,34475
5.5,34.1,5.4,25.9,6.4,11.2,11.6,2.7,0.3,0.1,04,86503
7.4,34.2,4.3,30.5,4.7,14.9,3.9,92.3,0.0,0.0,48,75410
14.3,30.9,6.4,26.3,10.2,9.8,2.1,87.6,4.9,0.4,20,67042
8.4,51.0,2.9,15.5,3.9,14.2,4.1,95.2,0.0,0.0,42,17560
9.2,35.6,5.1,19.8,9.5,15.0,5.8,57.7,39.0,0.5,28,39429
22.4,27.1,11.6,22.2,11.4,2.7,2.5,11.7,1.6,49.6,15,96701
12.3,27.2,11.3,29.7,10.1,5.6,3.7,94.8,1.4,1.8,31,68822
20.7,30.7,0.0,1.5,18.4,23.8,5.0,87.1,2.1,0.0,12,34739
12.9,44.4,4.9,22.7,8.0,7.0,0.0,88.2,0.0,0.0,20,67073
10.5,46.4,7.2,17.8,9.3,6.6,2.1,92.7,1.8,0.5,39,45891
32.6,12.6,21.4,20.1,9.8,2.2,1.3,70.6,2.0,11.7,06,95762
2.4,35.9,0.9,31.0,5.4,15.0,9.4,70.6,25.8,0.0,05,72368
9.6,35.4,5.8,25.2,9.4,9.0,5.6,85.0,11.1,1.2,12,32063
18.6,26.5,10.9,23.6,9.0,8.0,3.5,68.0,22.1,1.2,01,35811
13.3,38.6,6.0,18.5,9.4,9.1,4.9,65.6,17.4,0.4,12,32726
21.9,23.1,8.0,24.0,15.7,5.2,2.1,97.1,0.4,0.2,23,04412
9.7,37.9,3.5,26.8,10.1,9.9,2.1,94.6,0.4,0.2,26,48809
12.3,28.8,6.5,27.2,9.7,11.5,4.0,46.9,46.1,0.5,51,23707
15.4,38.2,5.0,22.8,3.4,5.5,9.7,78.5,0.8,0.3,48,76444
7.3,36.9,3.2,28.8,10.9,8.2,4.6,94.7,1.4,0.0,27,56482
11.4,46.4,5.5,18.0,8.0,8.4,2.4,96.3,1.2,0.5,42,15834
10.2,50.4,3.6,14.0,11.5,8.2,2.0,97.2,0.0,0.6,39,45644
25.6,14.9,19.7,24.3,10.6,3.5,1.5,75.1,1.1,3.7,06,95409
17.4,31.2,8.7,23.4,5.7,6.5,7.3,7.3,83.3,2.4,12,32343
10.6,34.1,4.7,20.8,11.7,10.1,8.1,14.0,53.4,1.3,12,33023
6.6,53.1,3.9,17.8,9.2,8.2,1.2,94.7,0.0,0.3,29,65601
33.7,8.5,33.6,16.8,6.0,0.7,0.6,87.8,4.2,4.1,21,40059
27.2,17.8,16.7,26.1,7.0,3.9,1.3,72.4,2.3,2.8,48,79424
21.4,23.3,29.3,16.2,5.4,2.3,2.2,81.2,0.0,0.6,36,11516
9.3,39.0,3.2,19.7,8.4,13.1,7.3,7.6,77.3,0.3,09,06112
12.6,47.9,6.3,17.6,8.9,5.8,0.9,97.0,0.0,0.0,42,16051
16.2,40.0,6.5,20.6,10.4,3.6,2.7,87.5,1.5,0.9,19,52353
23.5,26.1,14.4,18.1,12.1,4.3,1.4,92.3,1.0,1.9,36,12020
10.3,50.3,5.7,14.5,7.7,7.6,4.0,92.4,2.1,0.4,42,18834
6.9,43.8,4.9,15.1,11.0,14.1,4.1,93.7,0.0,0.0,47,37308
24.2,21.1,15.0,18.0,4.8,8.2,8.7,36.3,18.3,2.1,48,78723
14.7,28.6,8.0,24.3,11.1,9.4,3.9,82.1,1.3,0.8,53,98942
7.4,39.8,5.9,15.0,9.3,14.7,8.0,96.2,2.8,0.0,21,40008
20.2,35.7,13.7,13.7,6.3,6.2,4.3,79.8,1.4,11.1,42,18964
22.1,25.5,10.5,23.1,12.2,4.0,2.7,79.6,3.6,3.3,12,34219
11.7,34.8,9.7,18.4,6.5,12.8,6.2,80.6,13.0,0.6,13,30577
2.5,41.2,1.2,18.5,1.2,27.9,7.7,97.9,0.0,0.0,29,63636
7.5,44.4,5.1,21.4,3.5,13.1,5.0,48.0,0.0,0.4,40,74365
20.9,28.8,8.9,24.5,14.4,1.6,0.8,92.2,1.7,0.2,55,53507
6.6,40.4,2.1,22.1,8.9,15.5,4.4,60.3,31.2,3.2,26,48089
15.0,30.2,7.6,26.7,10.8,8.1,1.5,51.5,36.4,3.4,29,63042
19.3,27.6,10.5,21.8,13.9,4.6,2.2,75.0,20.7,0.3,17,62223
7.2,48.8,5.7,18.0,7.8,9.0,3.6,96.6,0.4,0.7,42,16925
25.7,23.9,17.3,18.4,8.9,3.5,2.3,88.1,1.2,2.4,12,33928
29.6,19.3,13.8,24.4,7.1,3.9,1.9,81.9,7.1,2.1,13,30189
6.3,43.0,2.8,22.2,7.2,12.4,6.1,96.0,0.2,0.6,12,33538
10.6,40.1,3.7,19.8,11.0,11.6,3.3,77.3,10.7,1.0,36,14206
9.2,34.2,4.3,20.7,6.4,13.6,11.5,4.1,52.3,0.5,17,60651
15.8,25.4,10.8,25.4,10.8,7.8,4.0,70.8,20.0,2.5,45,29670
17.8,31.1,8.8,22.5,8.2,7.2,4.4,81.6,1.6,1.5,27,56716
20.1,29.5,9.3,22.9,9.5,5.9,2.8,85.6,7.6,1.6,47,37415
12.5,34.4,3.4,24.4,6.8,10.6,7.9,54.0,12.5,0.7,48,77515
17.5,29.5,14.7,22.3,8.6,4.5,2.9,87.1,0.6,5.6,09,06279
10.6,33.3,8.8,24.8,4.7,11.9,5.8,86.8,7.0,0.8,13,30110
20.0,23.0,10.8,27.3,6.9,6.9,5.1,78.2,1.6,1.0,48,76401
0.0,50.2,3.4,10.7,1.5,21.1,13.1,17.7,0.0,0.0,48,78535
21.4,30.1,11.5,22.3,9.7,3.3,1.6,90.6,4.0,2.3,34,08051
15.4,34.1,5.9,20.4,12.6,7.2,4.2,91.1,1.7,1.4,36,13476
15.0,28.3,5.3,27.4,14.4,7.2,2.5,86.7,9.4,1.3,45,29365
48.7,7.8,33.0,0.0,10.4,0.0,0.0,100.0,0.0,0.0,25,02647
13.8,39.0,6.9,24.2,7.4,8.1,0.5,88.5,5.4,0.0,19,50169
13.9,44.2,7.6,14.3,8.8,9.0,2.3,96.8,0.5,0.3,42,18848
13.3,22.8,8.7,20.3,3.7,13.7,17.5,25.5,13.4,3.4,04,85007
15.2,36.1,7.6,22.8,8.3,7.1,2.9,91.0,3.9,0.6,39,45177
14.8,36.3,6.6,24.2,10.8,4.8,2.5,93.7,0.3,1.3,26,49348
28.1,26.2,8.7,20.9,13.0,1.5,1.5,78.2,5.1,5.0,29,64158
34.9,8.8,36.6,13.4,5.3,0.8,0.3,83.5,8.5,3.5,26,48025
16.9,25.7,7.4,25.0,10.1,7.8,7.0,47.6,9.8,13.7,53,98198
14.5,41.6,5.6,14.7,9.1,8.1,6.4,74.4,0.4,0.4,55,54612
2.2,31.7,0.5,20.3,3.6,31.5,10.1,55.4,33.1,0.0,17,62846
25.3,10.4,19.7,19.6,5.5,9.2,10.4,29.7,27.4,26.4,06,94612
24.3,25.2,11.7,24.6,8.6,3.5,2.1,84.9,8.2,2.1,47,37075
10.4,34.2,6.7,25.8,7.5,12.4,3.0,80.8,10.9,0.8,26,49031
21.8,31.2,8.8,16.0,8.4,7.0,6.8,33.8,11.2,4.5,12,33634
24.5,29.6,14.3,16.7,7.9,4.2,2.8,83.0,0.4,7.9,36,11714
6.7,47.1,2.8,22.5,7.5,9.3,4.1,95.1,2.7,0.0,26,48435
14.7,33.9,8.6,23.2,9.6,5.2,4.8,97.1,1.4,0.7,19,51449
22.6,27.9,15.1,19.9,9.4,3.6,1.5,93.6,1.2,1.6,39,44720
23.6,19.9,9.0,27.3,11.2,5.6,3.4,55.2,7.5,21.2,53,98037
13.8,42.8,5.6,15.0,12.2,8.8,1.7,92.0,4.7,0.0,36,12154
6.6,56.6,2.0,16.9,6.4,9.3,2.2,99.8,0.0,0.1,47,37770
16.9,40.9,5.8,23.5,4.9,5.4,2.6,87.4,0.3,0.0,40,74032
10.5,31.5,6.2,27.2,13.3,7.4,3.9,77.4,0.8,1.2,32,89403
10.0,32.4,4.6,17.5,7.6,15.4,12.6,15.9,28.4,1.3,37,28377
8.6,27.4,4.0,24.9,4.2,17.5,13.5,40.1,5.1,0.0,35,88135
19.6,32.6,8.4,17.4,9.6,6.5,6.0,46.2,49.3,1.3,45,29429
13.4,30.9,7.9,25.5,8.2,11.1,3.2,22.4,69.0,1.6,55,53209
20.2,23.3,8.2,22.9,6.2,7.7,11.6,38.2,3.7,5.8,48,75234
29.8,16.6,17.7,17.0,13.5,3.9,1.5,70.9,5.0,4.2,12,32766
10.7,35.4,3.8,29.1,8.5,10.3,2.2,79.8,0.3,0.8,49,84066
9.9,39.4,5.5,25.3,8.8,4.9,6.2,94.0,0.1,0.4,20,66040
12.2,25.8,4.8,20.0,5.5,11.4,20.2,5.0,30.0,4.2,06,90018
